"Município","Produto","Data","Preço"
"Jequie","GASOLINA",2025-02-18,5.79
"Jequie","GASOLINA ADITIVADA",2025-02-18,5.79
"Jequie","GLP",2025-02-18,109.99
"Juazeiro","DIESEL",2025-02-18,6.2
"Juazeiro","DIESEL S10",2025-02-18,6.3
"Juazeiro","ETANOL",2025-02-18,4.99
"Juazeiro","GASOLINA",2025-02-18,6.64
"Juazeiro","GASOLINA ADITIVADA",2025-02-18,6.89
"Juazeiro","GLP",2025-02-20,115
"Lagarto","DIESEL",2025-02-10,6.08
"Lagarto","DIESEL S10",2025-02-10,6.23
"Lagarto","ETANOL",2025-02-10,4.8
"Lagarto","GASOLINA",2025-02-10,6.51
"Lagarto","GASOLINA ADITIVADA",2025-02-10,6.51
"Maceio","DIESEL",2025-02-19,6.59
"Maceio","DIESEL S10",2025-02-19,6.19
"Maceio","ETANOL",2025-02-19,4.94
"Maceio","GASOLINA",2025-02-19,6.23
"Maceio","GASOLINA ADITIVADA",2025-02-19,6.39
"Maceio","GLP",2025-02-19,84.99
"Maceio","GNV",2025-02-17,4.79
"Paulo Afonso","DIESEL",2025-02-20,6.53
"Paulo Afonso","DIESEL S10",2025-02-20,6.52
"Paulo Afonso","ETANOL",2025-02-20,4.89
"Paulo Afonso","GASOLINA",2025-02-20,6.26
"Paulo Afonso","GASOLINA ADITIVADA",2025-02-20,6.32
"Pocoes","DIESEL",2025-02-19,5.9
"Pocoes","DIESEL S10",2025-02-19,6.06
"Pocoes","ETANOL",2025-02-19,4.49
"Pocoes","GASOLINA",2025-02-19,6.27
"Pocoes","GASOLINA ADITIVADA",2025-02-19,6.28
"Porto Seguro","DIESEL",2025-02-20,6.99
"Porto Seguro","DIESEL S10",2025-02-20,7.09
"Porto Seguro","ETANOL",2025-02-20,5
"Porto Seguro","GASOLINA",2025-02-20,6.9
"Porto Seguro","GASOLINA ADITIVADA",2025-02-20,7.05
"Rio Largo","DIESEL",2025-02-19,6.24
"Rio Largo","DIESEL S10",2025-02-19,6.26
"Rio Largo","ETANOL",2025-02-19,4.95
"Rio Largo","GASOLINA",2025-02-19,6.24
"Rio Largo","GASOLINA ADITIVADA",2025-02-19,6.34
"Rio Largo","GNV",2025-02-19,4.89
"Salvador","DIESEL",2025-02-12,6.09
"Salvador","DIESEL S10",2025-02-20,6.29
"Salvador","ETANOL",2025-02-20,4.47
"Salvador","GASOLINA",2025-02-20,5.87
"Salvador","GASOLINA ADITIVADA",2025-02-20,6.07
"Salvador","GLP",2025-02-20,125
"Salvador","GNV",2025-02-18,3.99
"Santo Antonio de Jesus","DIESEL",2025-02-17,6.16
"Santo Antonio de Jesus","DIESEL S10",2025-02-17,6.24
"Santo Antonio de Jesus","ETANOL",2025-02-17,4.99
"Santo Antonio de Jesus","GASOLINA",2025-02-17,6.54
"Santo Antonio de Jesus","GASOLINA ADITIVADA",2025-02-17,6.54
"Senhor do Bonfim","DIESEL",2025-02-18,6.74
"Senhor do Bonfim","DIESEL S10",2025-02-18,6.19
"Senhor do Bonfim","ETANOL",2025-02-18,4.66
"Senhor do Bonfim","GASOLINA",2025-02-18,6.28
"Senhor do Bonfim","GASOLINA ADITIVADA",2025-02-18,6.28
"Senhor do Bonfim","GLP",2025-02-17,110
"Serrinha","DIESEL",2025-02-19,5.98
"Serrinha","DIESEL S10",2025-02-20,6.25
"Serrinha","ETANOL",2025-02-20,4.72
"Serrinha","GASOLINA",2025-02-20,6.42
"Serrinha","GASOLINA ADITIVADA",2025-02-19,6.18
"Serrinha","GLP",2025-02-19,120
"Teixeira de Freitas","DIESEL",2025-02-19,6.22
"Teixeira de Freitas","DIESEL S10",2025-02-19,6.32
"Teixeira de Freitas","ETANOL",2025-02-19,5.09
"Teixeira de Freitas","GASOLINA",2025-02-19,6.59
"Teixeira de Freitas","GASOLINA ADITIVADA",2025-02-19,6.86
"Valenca","DIESEL",2025-02-18,6.29
"Valenca","DIESEL S10",2025-02-18,6.39
"Valenca","ETANOL",2025-02-18,4.99
"Valenca","GASOLINA",2025-02-18,6.57
"Valenca","GASOLINA ADITIVADA",2025-02-18,6.56
"Vitoria da Conquista","DIESEL",2025-02-17,5.99
"Vitoria da Conquista","DIESEL S10",2025-02-17,6.06
"Vitoria da Conquista","ETANOL",2025-02-17,4.95
"Vitoria da Conquista","GASOLINA",2025-02-17,6.55
"Vitoria da Conquista","GASOLINA ADITIVADA",2025-02-17,6.6
"Vitoria da Conquista","GLP",2025-02-17,118
"Vitoria da Conquista","GNV",2025-02-17,5.59
